WEO Country Code;Country;Subject Descriptor;Units;Scale;Country/Series-specific Notes;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;Estimates Start After
193;Australia;Gross domestic product, constant prices;Percent change;;Source: National Statistics Office. Australian Bureau of Statistics (via Haver Analytics) Latest actual data: 2019. Data refer to calendar years National accounts manual used: System of National Accounts (SNA) 2008 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2017/18. The base period is 2017Q3-2018Q2 Chain-weighted: Yes, from before 1980. Annually-reweighted;2.894;4.127;0.063;-0.474;6.346;5.456;2.448;4.893;4.253;4.624;1.502;-1.000;2.560;3.900;4.899;2.839;4.152;4.578;4.702;4.459;3.027;2.612;4.136;2.784;4.117;3.029;2.707;4.427;2.666;1.880;2.361;2.842;3.800;2.127;2.582;2.306;2.776;2.461;2.730;1.847;-6.665;6.111;2019
193;Australia;Gross domestic product, current prices;"Purchasing power parity; international dollars";Billions;Source: National Statistics Office. Australian Bureau of Statistics (via Haver Analytics) Latest actual data: 2019. Data refer to calendar years National accounts manual used: System of National Accounts (SNA) 2008 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2017/18. The base period is 2017Q3-2018Q2 Chain-weighted: Yes, from before 1980. Annually-reweighted;155.502;177.239;188.308;194.757;214.590;233.456;243.986;262.253;283.049;307.749;324.062;331.671;347.916;370.051;396.467;416.273;441.495;469.668;497.290;526.963;555.050;582.038;615.701;644.593;689.197;732.189;774.765;830.802;869.539;892.644;924.365;970.492;1,026.695;1,066.930;1,114.731;1,152.307;1,196.554;1,249.092;1,314.459;1,362.073;1,279.361;1,384.018;2019
193;Australia;Gross domestic product per capita, constant prices;"Purchasing power parity; percent change";;Source: National Statistics Office. Australian Bureau of Statistics (via Haver Analytics) Latest actual data: 2019. Data refer to calendar years National accounts manual used: System of National Accounts (SNA) 2008 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2017/18. The base period is 2017Q3-2018Q2 Chain-weighted: Yes, from before 1980. Annually-reweighted;1.593;2.483;-1.572;-1.724;5.031;3.976;0.936;3.256;2.426;3.082;0.124;-2.192;1.520;2.951;3.876;1.556;2.956;3.562;3.608;3.279;1.833;1.313;2.973;1.634;2.980;1.682;1.133;2.497;0.469;0.063;0.944;1.245;1.963;0.506;1.095;0.837;1.069;0.874;1.106;0.294;-8.088;4.494;2019
193;Australia;Inflation, average consumer prices;Percent change;;Source: National Statistics Office. Australian Bureau of Statistics (via Haver Analytics) Latest actual data: 2019. Data refer to calendar years Harmonized prices: No Frequency of source data: Quarterly Base year: 2011/12. The base period is 2011Q3-2012Q2;10.136;9.488;11.352;10.039;3.960;6.735;9.050;8.533;7.270;7.580;7.233;3.307;0.969;1.836;1.884;4.584;2.653;0.225;0.859;1.408;4.457;4.407;3.049;2.763;2.278;2.722;3.523;2.356;4.348;1.770;2.863;3.330;1.712;2.475;2.488;1.485;1.277;1.972;1.934;1.610;1.431;1.823;2019
193;Australia;Inflation, end of period consumer prices;Percent change;;Source: National Statistics Office. Australian Bureau of Statistics (via Haver Analytics) Latest actual data: 2019. Data refer to calendar years Harmonized prices: No Frequency of source data: Quarterly Base year: 2011/12. The base period is 2011Q3-2012Q2;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;7.813;6.884;1.525;0.334;1.997;2.610;4.928;1.667;-0.298;1.495;1.767;5.789;3.146;3.050;2.445;2.513;2.819;3.337;2.999;3.695;2.052;2.646;2.990;2.102;2.745;1.622;1.690;1.385;2.004;1.786;1.842;1.164;2.015;2019
193;Australia;Unemployment rate;Percent of total labor force;;Source: National Statistics Office. Australian Bureau of Statistics (via Haver Analytics) Latest actual data: 2019. Data refer to calendar years Employment type: National definition Primary domestic currency: Australian dollar Data last updated: 04/2020;6.133;5.783;7.183;9.967;8.967;8.258;8.117;8.108;7.208;6.133;6.942;9.608;10.742;10.883;9.717;8.483;8.525;8.367;7.692;6.867;6.292;6.775;6.358;5.942;5.392;5.042;4.792;4.375;4.250;5.575;5.208;5.083;5.225;5.658;6.058;6.050;5.700;5.575;5.292;5.183;7.621;8.924;2019
193;Australia;General government net lending/borrowing;Percent of GDP;;"Source: Ministry of Finance or Treasury. Treasury Department Latest actual data: 2017/18. ABS data up to and including FY2017/18. Notes: Social Benefits series comprises social security and welfare spending for which we do not have comparable data prior to 2004. Fiscal assumptions: Fiscal projections are based on data from Australian Bureau of Statistics; the fiscal year FY2019/20 mid-year reviews  of the Commonwealth and States; and IMF staff estimates and projections. Start/end months of reporting year: January/December. July/June by authorities, and Jan/Dec by staff GFS Manual used: Government Finance Statistics Manual (GFSM) 2014. The IMF has published a revised Government Finance Statistics Manual (GFSM 2014), and the Australian system has been updated to reflect the new international standards. These changes are presented in the Australian System of Government Finance Statistics: Concepts, Sources and Methods, 2015†(cat. no. 5514.0), and will be implemented for data reported for periods from 1 July 2017 onwards, Source: ABS Basis of recording: Accrual General government includes: Central Government; State Government; Local Government; Other;. Other includes Territory governments Valuation of public debt: Nominal value Instruments included in gross and net debt: Currency and Deposits; Securities Other than Shares; Loans;;Shares and Other Equity; Financial Derivatives; Other Accounts Receivable/Payable";n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;0.478;0.927;-0.232;-2.794;-4.753;-4.735;-3.801;-2.610;-1.460;-0.494;-0.246;0.667;1.254;-0.030;0.193;1.054;1.327;1.712;1.776;1.478;-1.102;-4.572;-5.127;-4.531;-3.511;-2.813;-2.919;-2.803;-2.509;-1.691;-0.942;-3.732;-9.726;-7.336;2018
193;Australia;Current account balance;Percent of GDP;;Source: National Statistics Office. Australian Bureau of Statistics (via Haver Analytics) Latest actual data: 2019 BOP Manual used: Balance of Payments and International Investment Position Manual, sixth edition (BPM6);-2.371;-4.064;-4.114;-3.153;-4.154;-4.871;-5.058;-3.396;-3.846;-6.023;-4.867;-3.295;-3.272;-3.039;-4.538;-5.006;-3.474;-2.924;-4.914;-5.484;-4.102;-2.253;-3.814;-5.355;-6.321;-5.948;-5.869;-6.718;-4.738;-4.662;-3.653;-3.077;-4.296;-3.383;-3.072;-4.619;-3.271;-2.561;-2.055;0.509;-0.631;-1.805;2019
122;Austria;Gross domestic product, constant prices;Percent change;;Source: National Statistics Office Latest actual data: 2019 National accounts manual used: European System of Accounts (ESA) 2010 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2015 Chain-weighted: Yes, from 1995;2.314;-0.099;1.908;2.804;0.332;2.243;2.341;1.681;0.961;3.887;4.346;3.442;2.094;0.527;2.402;2.668;2.398;2.094;3.581;3.556;3.376;1.267;1.652;0.941;2.735;2.244;3.454;3.727;1.460;-3.765;1.837;2.923;0.680;0.026;0.661;1.015;2.083;2.476;2.420;1.585;-6.997;4.510;2019
122;Austria;Gross domestic product, current prices;"Purchasing power parity; international dollars";Billions;Source: National Statistics Office Latest actual data: 2019 National accounts manual used: European System of Accounts (ESA) 2010 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2015 Chain-weighted: Yes, from 1995;84.888;92.827;100.443;107.304;111.545;117.654;122.832;127.985;133.772;144.420;156.336;167.186;174.576;179.654;187.897;196.955;205.372;213.287;223.413;234.699;248.045;256.697;265.065;272.529;287.520;303.129;323.090;344.136;355.952;345.164;355.601;373.640;383.398;390.224;400.074;408.340;421.161;439.718;461.331;476.812;446.265;475.484;2019
122;Austria;Gross domestic product per capita, constant prices;"Purchasing power parity; percent change";;Source: National Statistics Office Latest actual data: 2019 National accounts manual used: European System of Accounts (ESA) 2010 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2015 Chain-weighted: Yes, from 1995;2.314;-0.300;1.780;3.108;0.321;2.174;2.234;1.545;0.833;3.641;3.656;2.555;0.942;-0.539;1.805;2.415;2.260;1.978;3.468;3.355;3.127;0.880;1.151;0.492;2.091;1.550;2.920;3.387;1.139;-3.995;1.599;2.586;0.229;-0.575;-0.125;0.013;0.794;1.606;1.613;0.839;-7.630;3.852;2019
122;Austria;Inflation, average consumer prices;Percent change;;Source: National Statistics Office Latest actual data: 2019 Harmonized prices: Yes Frequency of source data: Monthly Base year: 2005;6.325;6.807;5.440;3.335;5.665;3.190;1.737;1.408;1.868;2.249;2.779;3.116;3.426;3.234;2.711;1.611;1.771;1.167;0.816;0.516;1.956;2.302;1.684;1.301;1.963;2.100;1.690;2.199;3.228;0.405;1.694;3.542;2.566;2.120;1.466;0.808;0.972;2.228;2.120;1.490;0.440;1.699;2019
122;Austria;Inflation, end of period consumer prices;Percent change;;Source: National Statistics Office Latest actual data: 2019 Harmonized prices: Yes Frequency of source data: Monthly Base year: 2005;6.661;6.407;4.726;3.785;5.049;2.804;1.104;1.642;1.866;2.479;3.130;2.730;3.741;3.096;2.388;0.555;2.234;0.913;0.425;1.651;1.853;1.819;1.696;1.337;2.512;1.519;1.642;3.456;1.492;1.040;2.183;3.308;2.810;1.856;0.699;0.975;1.544;2.275;1.707;1.801;0.300;1.900;2019
122;Austria;Unemployment rate;Percent of total labor force;;Source: National Statistics Office Latest actual data: 2019 Employment type: Harmonized ILO definition Primary domestic currency: Euro Data last updated: 04/2020;1.600;2.200;3.100;3.700;3.800;3.600;3.100;3.800;2.676;2.348;2.723;3.151;3.290;3.958;3.850;4.242;4.717;4.758;4.708;4.142;3.883;4.008;4.392;4.792;5.500;5.642;5.233;4.867;4.092;5.333;4.842;4.592;4.917;5.333;5.608;5.742;6.033;5.517;4.883;4.517;5.500;5.000;2019
122;Austria;General government net lending/borrowing;Percent of GDP;;"Source: National Statistics Office Latest actual data: 2019 Fiscal assumptions: Fiscal projections are based on data from Statistics Austria, the authorities? projections, and IMF staff estimates and projections. Start/end months of reporting year: January/December GFS Manual used: Government Finance Statistics Manual (GFSM) 2014 Basis of recording: Accrual General government includes: Central Government; State Government; Local Government; Social Security Funds; Valuation of public debt: Face value Instruments included in gross and net debt: Currency and Deposits; Securities Other than Shares; Loans;;. Our framework follows the Maastricht debt criteria.";n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;-3.355;-3.028;-2.570;-2.946;-2.137;-4.542;-5.013;-6.141;-4.357;-2.372;-2.669;-2.618;-2.063;-0.658;-1.865;-1.382;-4.839;-2.541;-2.563;-1.382;-1.521;-5.356;-4.453;-2.577;-2.189;-1.950;-2.729;-1.046;-1.574;-0.699;0.198;0.443;-7.095;-1.562;2019
