WEO Country Code;Country;Subject Descriptor;Units;Scale;Country/Series-specific Notes;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;Estimates Start After
213;Argentina;Gross domestic product, constant prices;Percent change;;Source: National Statistics Office Latest actual data: 2018 National accounts manual used: System of National Accounts (SNA) 2008 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2004 Chain-weighted: No;0.700;-5.744;-3.149;3.733;2.000;-6.951;7.146;2.529;-1.957;-7.007;-1.338;10.498;10.299;6.251;5.830;-2.845;5.527;8.111;3.850;-3.385;-0.789;-4.409;-10.894;8.955;8.911;8.852;8.047;9.008;4.057;-5.919;10.125;6.004;-1.026;2.405;-2.513;2.731;-2.080;2.669;-2.482;-2.163;-5.719;4.448;2018
213;Argentina;Gross domestic product, current prices;"Purchasing power parity; international dollars";Billions;Source: National Statistics Office Latest actual data: 2018 National accounts manual used: System of National Accounts (SNA) 2008 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2004 Chain-weighted: No;177.139;182.761;187.943;202.595;214.104;205.522;224.641;236.018;239.561;231.510;236.961;270.693;305.378;332.154;359.023;356.122;382.685;420.859;441.982;433.185;439.374;429.214;388.504;431.157;482.220;541.253;602.507;674.423;715.435;678.224;755.600;817.698;824.828;859.487;853.398;885.833;876.387;916.719;915.749;911.562;864.887;920.972;2018
213;Argentina;Gross domestic product per capita, constant prices;"Purchasing power parity; percent change";;Source: National Statistics Office Latest actual data: 2018 National accounts manual used: System of National Accounts (SNA) 2008 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2004 Chain-weighted: No;-0.764;-7.400;-4.755;2.284;0.291;-8.515;5.786;1.374;-3.141;-8.145;-3.370;9.023;8.814;4.693;4.488;-4.035;4.278;6.870;2.694;-4.429;-1.828;-5.367;-11.748;7.937;7.896;7.819;6.998;7.939;3.038;-6.830;8.360;4.789;-2.145;1.266;-3.579;1.630;-3.110;1.609;-3.467;-3.132;-6.653;3.414;2018
213;Argentina;Inflation, average consumer prices;Percent change;;Source: National Statistics Office Latest actual data: 2018 Notes: The consumer price data for Argentina before December 2013 reflect the consumer price index (CPI) for the Greater Buenos Aires Area (CPI-GBA), while from December 2013 to October 2015 the data reflect the national CPI (IPCNu). The new government that took office in December 2015 discontinued the IPCNu, stating that it was flawed, and released a new CPI for the Greater Buenos Aires Area on June 15, 2016 (a new national CPI index has been disseminated starting in June 2017). At its November 9, 2016, meeting, the IMF Executive Board considered the new CPI series to be in line with international standards and lifted the declaration of censure issued in 2013. Given the differences in geographical coverage, weights, sampling, and methodology of these series, the average CPI inflation for 2014, 2015, and 2016 and end-of-period inflation for 2015 and 2016 are not reported in the October 2017 World Economic Outlook. Harmonized prices: No Frequency of source data: Monthly Base year: 2013/14. The actual data are for calendar year the official index we are using for the WEO submission had the base year of Oct13-Sep14, hence the 2013/14 notation.;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;0.925;-1.167;-0.939;-1.065;25.869;13.443;4.416;9.642;10.898;8.830;8.585;6.270;10.461;9.775;10.043;10.619;n/a;n/a;n/a;25.675;34.277;53.548;n/a;n/a;2018
213;Argentina;Inflation, end of period consumer prices;Percent change;;Source: National Statistics Office Latest actual data: 2018 Notes: The consumer price data for Argentina before December 2013 reflect the consumer price index (CPI) for the Greater Buenos Aires Area (CPI-GBA), while from December 2013 to October 2015 the data reflect the national CPI (IPCNu). The new government that took office in December 2015 discontinued the IPCNu, stating that it was flawed, and released a new CPI for the Greater Buenos Aires Area on June 15, 2016 (a new national CPI index has been disseminated starting in June 2017). At its November 9, 2016, meeting, the IMF Executive Board considered the new CPI series to be in line with international standards and lifted the declaration of censure issued in 2013. Given the differences in geographical coverage, weights, sampling, and methodology of these series, the average CPI inflation for 2014, 2015, and 2016 and end-of-period inflation for 2015 and 2016 are not reported in the October 2017 World Economic Outlook. Harmonized prices: No Frequency of source data: Monthly Base year: 2013/14. The actual data are for calendar year the official index we are using for the WEO submission had the base year of Oct13-Sep14, hence the 2013/14 notation.;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;0.664;-1.810;-0.734;-1.544;40.953;3.656;6.101;12.327;9.841;8.468;7.238;7.695;10.923;9.508;10.842;10.946;23.915;n/a;n/a;24.796;47.646;53.832;n/a;n/a;2018
213;Argentina;Unemployment rate;Percent of total labor force;;Source: National Statistics Office Latest actual data: 2018 Notes: Argentina's authorities discontinued the publication of labor market data in December 2015 and released new series starting in the second quarter of 2016. Employment type: National definition Primary domestic currency: Argentine peso Data last updated: 04/2020;3.000;5.000;4.500;5.000;5.000;6.250;6.300;6.000;6.500;8.000;7.600;6.480;7.112;11.606;13.348;18.904;18.760;16.808;14.789;16.061;17.134;19.209;22.450;17.250;13.625;11.575;10.175;8.475;7.875;8.675;7.750;7.150;7.200;7.075;7.250;6.533;8.467;8.350;9.200;9.825;10.903;10.084;2018
213;Argentina;General government net lending/borrowing;Percent of GDP;;"Source: Ministry of Economy and/or Planning. http://www.mecon.gov.ar/onp/html/ejectexto/cuenta_nac_dosuno.html?var1=cuentanacdosnueve Latest actual data: 2018 Notes: Government gross debt refers to the central government including untendered debt. Start/end months of reporting year: January/December GFS Manual used: Government Finance Statistics Manual (GFSM) 1986 Basis of recording: Cash. Central (National) government net lending/borrowing includes cash interest payments only. General government includes: Central Government; State Government; Social Security Funds; Valuation of public debt: Nominal value Instruments included in gross and net debt: Securities Other than Shares; Loans;";n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;-0.025;-1.289;-2.137;-2.898;-1.895;-1.884;-3.817;-3.519;-5.524;-1.976;1.548;3.967;3.341;1.650;0.757;0.352;-1.830;-1.393;-2.746;-3.018;-3.254;-4.252;-6.001;-6.655;-6.703;-5.493;-3.869;n/a;n/a;2018
213;Argentina;Current account balance;Percent of GDP;;Source: National Statistics Office Latest actual data: 2018 BOP Manual used: Balance of Payments and International Investment Position Manual, sixth edition (BPM6);-1.136;-3.109;-3.193;-2.161;-1.971;-0.996;-2.487;-3.593;-1.139;1.236;3.045;-0.209;-2.608;-3.137;-3.934;-1.822;-2.425;-3.870;-4.515;-3.931;-2.964;-1.355;7.929;5.774;1.798;2.473;2.791;2.100;1.492;2.167;-0.382;-1.012;-0.369;-2.146;-1.628;-2.743;-2.713;-4.843;-5.247;-0.771;n/a;n/a;2018
223;Brazil;Gross domestic product, constant prices;Percent change;;Source: National Statistics Office Latest actual data: 2019 National accounts manual used: System of National Accounts (SNA) 2008 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 1995 Chain-weighted: No;9.190;-4.400;0.596;-3.400;5.307;7.901;7.544;3.601;0.264;3.200;-4.168;1.031;-0.555;4.910;5.839;4.232;0.182;3.399;0.345;0.468;4.384;1.382;3.053;1.139;5.757;3.192;3.955;6.064;5.095;-0.119;7.545;3.986;1.928;3.008;0.505;-3.551;-3.285;1.314;1.312;1.133;-5.303;2.890;2019
223;Brazil;Gross domestic product, current prices;"Purchasing power parity; international dollars";Billions;Source: National Statistics Office Latest actual data: 2019 National accounts manual used: System of National Accounts (SNA) 2008 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 1995 Chain-weighted: No;580.908;607.891;649.295;651.783;711.143;791.598;868.458;921.982;957.019;1,026.367;1,020.393;1,065.786;1,084.023;1,164.194;1,258.477;1,339.237;1,366.246;1,437.038;1,458.221;1,486.198;1,586.023;1,643.211;1,720.161;1,772.056;1,924.531;2,047.816;2,193.240;2,388.726;2,559.265;2,575.700;2,802.320;2,974.902;3,090.412;3,239.228;3,315.854;3,231.412;3,157.627;3,259.359;3,382.591;3,480.546;3,316.920;3,479.335;2019
