country,yearQ,total_debt,debt_to_GDP,fx,nonbank_domestic_debt,bank_domestic_debt,official_domestic_debt,domestic_debt,nonbank_foreign_debt,bank_foreign_debt,official_foreign_debt,foreign_debt
Argentina,2004Q1,414.771,94.56970043001749,0.35211267605633806,73.448,92.346,226.599,226.599,128.143,1.022,59.008,188.172
Argentina,2004Q2,432.916,95.27145901845454,0.34036759700476515,85.196,96.744,243.753,243.753,128.135,1.092,59.935,189.162
Argentina,2004Q3,439.244,93.27917734022193,0.33772374197906113,89.994,98.676,250.907,250.907,127.635,1.05,59.652,188.337
Argentina,2004Q4,460.077,94.8387460000973,0.33795201081446435,104.575,101.363,271.476,271.476,128.436,1.002,59.164,188.601
Argentina,2005Q1,448.619,89.190023515628,0.3451846738004833,111.039,102.121,273.466,273.466,118.041,0.915,56.196,175.153
Argentina,2005Q2,295.669,56.09768848888582,0.3487966515521451,4.554,103.331,163.836,163.836,77.247,0.678,53.907,131.833
Argentina,2005Q3,295.391,53.46448701831371,0.3460207612456747,4.818,100.091,160.18,160.18,81.013,0.707,53.491,135.211
Argentina,2005Q4,446.471,76.64243190115442,0.33200531208499334,147.787,99.199,302.523,302.523,88.934,0.683,54.331,143.948
Argentina,2006Q1,451.291,73.29100266320296,0.32658393207054215,152.241,90.17,296.129,296.129,100.752,0.756,53.655,155.163
Argentina,2006Q2,461.456,71.39888646221767,0.3261578604044358,153.972,95.851,300.881,300.881,106.507,0.905,53.163,160.576
Argentina,2006Q3,460.655,67.63621367306476,0.324254215304799,154.929,91.831,299.846,299.846,108.365,0.932,51.513,160.809
Argentina,2006Q4,479.501,66.97843578767761,0.3287310979618672,169.481,86.784,311.28,311.28,116.115,0.864,51.243,168.222
Argentina,2007Q1,483.039,64.52474522149659,0.3246753246753247,158.732,93.318,306.915,306.915,122.243,0.861,53.021,176.124
Argentina,2007Q2,488.443,61.617598279706776,0.3254149040026033,153.763,96.49,305.048,305.048,139.812,1.349,42.234,183.395
Argentina,2007Q3,493.399,58.81479307165588,0.3194888178913738,158.631,93.118,308.043,308.043,139.753,1.128,44.474,185.355
Argentina,2007Q4,519.821,57.952314177669194,0.31959092361776925,190.153,80.134,328.498,328.498,143.881,1.163,46.279,191.323
Argentina,2008Q1,521.328,54.221802735161184,0.3176620076238882,171.639,98.23,327.452,327.452,140.88,1.052,51.943,193.875
Argentina,2008Q2,516.549,49.72284984911343,0.3327787021630616,183.225,90.794,334.494,334.494,133.166,0.767,48.122,182.055
Argentina,2008Q3,519.882,46.99485773382725,0.32102728731942215,180.509,98.16,343.59,343.59,126.198,0.69,49.404,176.292
Argentina,2008Q4,552.969,48.099072728470645,0.2912904165452957,217.119,83.801,370.903,370.903,126.062,0.748,55.256,182.066
Argentina,2009Q1,556.633,47.59037106352014,0.27027027027027023,207.936,91.391,364.694,364.694,132.373,0.894,58.672,191.939
Argentina,2009Q2,585.413,49.652164961202,0.2647603918453799,215.696,94.497,389.646,389.646,133.497,1.053,61.218,195.768
Argentina,2009Q3,597.086,49.73479079371661,0.26157467957101754,209.771,105.215,399.034,399.034,133.533,1.025,63.493,198.052
Argentina,2009Q4,611.528,49.00345122814311,0.2645502645502646,211.482,106.551,415.296,415.296,129.121,0.882,66.229,196.233
Argentina,2010Q1,644.07,48.624958979789255,0.2592016588906169,202.357,117.495,445.658,445.658,130.342,0.832,67.238,198.412
Argentina,2010Q2,674.492,47.06137260795643,0.25568908207619534,197.063,135.603,460.044,460.044,145.297,0.943,68.208,214.448
Argentina,2010Q3,697.657,45.185278011490865,0.25380710659898476,182.884,145.666,461.487,461.487,166.012,1.068,69.09,236.17
Argentina,2010Q4,653.666,39.33668805625029,0.2527805864509606,123.489,143.341,408.215,408.215,173.253,0.935,71.263,245.451
Argentina,2011Q1,701.938,39.45217232602792,0.2478929102627665,94.241,173.065,447.762,447.762,180.716,0.985,72.475,254.176
Argentina,2011Q2,725.787,37.86100849414191,0.24449877750611249,105.675,177.27,465.743,465.743,184.396,0.957,74.691,260.044
Argentina,2011Q3,737.236,35.93836464066984,0.23894862604540026,122.547,168.642,477.962,477.962,181.27,0.992,77.012,259.274
Argentina,2011Q4,770.256,35.34867565944943,0.2334267040149393,163.127,141.952,511.13,511.13,177.874,0.893,80.359,259.126
Argentina,2012Q1,793.288,34.592964428013914,0.22941041523285158,123.735,180.372,522.275,522.275,188.197,0.964,81.852,271.014
Argentina,2012Q2,827.269,34.51699394626348,0.22099447513812154,130.667,183.27,550.551,550.551,191.14,0.798,84.78,276.718
Argentina,2012Q3,879.02,35.01673942566532,0.21381227282446014,124.908,194.912,598.203,598.203,191.753,0.837,88.226,280.817
Argentina,2012Q4,971.126,36.81417360904866,0.2041649652919559,180.508,159.713,671.547,671.547,204.266,0.804,94.509,299.579
Argentina,2013Q1,1000.296,36.062706205423005,0.1960015680125441,145.928,208.117,694.948,694.948,207.056,0.806,97.486,305.348
Argentina,2013Q2,1056.817,35.728040732527774,0.18604651162790697,154.837,219.767,738.406,738.406,213.598,0.976,103.836,318.411
