country,year,real_interest_rate,total_debt,debt_to_GDP,fx,nonbank_domestic_debt,bank_domestic_debt,official_domestic_debt,domestic_debt,nonbank_foreign_debt,bank_foreign_debt,official_foreign_debt,foreign_debt,foreign_participation_percent_GDP,foreign_ex_officials_participation_percent_GDP,foreign_nonbank_participation_percent_GDP,delta,x,y,kappa,alpha,GDP_cte_billions,GDP_cur_billions,GDP_cur_USD_billions,GDP_percapita_cte,GDP_percapita_cur,GDP_percapita_cur_USD,total_investment_percent_GDP,gross_national_savings_percent_GDP,inflation_average,inflation_end,unemployment_rate,general_gov_revenue_billions,general_gov_revenue_percent_GDP,general_gov_expenditures_billions,general_gov_expenditures_percent_GDP,lending_borrowing_billions,lending_borrowing_percent_GDP,current_account_billions,current_account_percent_GDP,ln_GDP_cte_billions,ln_GDP_cur_billions,ln_GDP_percapita_cur_USD,taxes,vix_EUA,vix_EUR,nominal_rate,continent,control_corruption_rank,gov_effectiveness_rank,political_stability_rank,regulatory_quality_rank,rule_of_law_rank,voice_rank,fx_volatility,int_liq,GBI_weight,post_08,post_09,post_12,post_13,post_15,post_16,post_17,less_20,bet_20_40,bet_40_60,bet_60_80,bet_80_100,more_100,fx_return,develop,US_nominal_rate
Argentina,2004,NA,436.752,94.48977069719781,0.34203900646365715,88.30324999999999,97.28225,248.18375,248.18375,128.08725,1.0415,59.439750000000004,188.56799999999998,38.87078321635076,26.618173010523282,26.403481648681243,0.648737462,0.08649776099999999,0.21706236975,0.9534598245,0.8910084730000001,485.115,485.115,164.911,12690.696,12690.697,4314.098,17.551,19.35,4.416,6.101,13.625,130.964,26.996,111.72,23.03,19.244,3.967,2.966,1.798,6.184385976232606,6.184385976232606,8.369643543427289,18.8897776425385,15.456793893129769,18.886297709923657,2.5,South America,40,55.17241,26.21359,23.64532,23.92344,59.61538,0.05518683395439363,NA,NA,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,0,EM,2.25
Argentina,2005,NA,371.5375,68.84865773099548,0.34300184967082414,67.0495,101.18549999999999,225.00125000000003,225.00125000000003,91.30875,0.74575,54.48125,146.53625,25.154796768622816,15.802316758735053,15.674299359011773,0.643289987,0.35849560125,0.248927974,0.78408994525,0.55826277825,528.056,582.538,199.273,13682.988,15094.732,5163.55,18.888,21.362,9.642,12.327,11.575,161.749,27.766,142.288,24.426,19.46,3.341,4.929,2.473,6.269202338688293,6.367394419363579,8.5493796064188885,19.8298881184074,12.779846153846155,14.031134999999999,5,South America,43.41463,50.98039,44.17476,31.86275,34.92823,59.13462,0.05558430427652448,NA,NA,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,YES,NO,0,EM,4.25
Argentina,2006,NA,463.22575,69.82613464654075,0.32643177643541105,157.65575,91.159,302.034,302.034,107.93475,0.86425,52.3935,161.1925,22.51593789111389,15.197428705524763,15.076707212140175,0.59906696525,0.39742733025,0.247556646,0.7548992615000001,0.5003904205,570.549,715.904,232.892,14640.504,18370.363,5976.082,18.68,21.471,10.898,9.841,10.175,202.363,28.267,190.55,26.617,11.813,1.65,6.499,2.791,6.3465990551843845,6.573546079759068,8.695520448271392,18.6619929052431,12.78038461538462,16.52674884615384,6.25,South America,42.92683,55.12195,45.89372,26.47059,34.44976,58.17308,0.03053819521182231,NA,NA,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,YES,NO,0,EM,5.25
Argentina,2007,NA,496.1755,60.72736268763211,0.32229249254676773,165.31975,90.765,312.126,312.126,136.42225,1.1252499999999999,46.502,184.04925,20.518768534415482,15.334511360342482,15.209062632388681,0.57368986275,0.39575358024999996,0.15509146825,0.8556117590000001,0.41734566675,621.943,896.98,287.921,15802.837,22791.226,7315.726,20.099,22.199,8.83,8.468,8.475,271.853,30.308,265.063,29.551,6.79,0.757,6.046,2.1,6.432848448668607,6.799033565266189,8.897781556649756,14.2354844249788,17.45256704980844,19.614428735632167,10.75,South America,45.14563,53.39806,46.85991,25.72816,34.44976,58.65385,0.030949624843043585,NA,0,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,YES,NO,0,EM,4.25
Argentina,2008,NA,527.682,49.75964576164313,0.3156896034129169,188.123,92.74625,344.10975,344.10975,131.5765,0.81425,51.18125,183.572,15.967697882652573,11.5157839891584,11.444957839195718,0.60443612925,0.40305438849999997,0.14019823725,0.8583272532499999,0.4264905795,647.176,1149.646,363.545,16282.958,28925.107,9146.79,19.573,21.065,8.585,7.238,7.875,357.705,31.114,353.658,30.762,4.046,0.352,5.424,1.492,6.472618282238403,7.0472093478821645,9.121158277045819,13.0827459285192,32.58267175572519,33.70876145038169,12.05,South America,39.32039,50.48544,40.86538,23.30097,27.88461,58.17308,0.1178933712241314,NA,NA,YES,NO,NO,NO,NO,NO,NO,NO,NO,YES,YES,NO,NO,0,EM,0.125
Argentina,2009,NA,587.665,48.995194511645465,0.26528890155923307,211.22125,99.4135,392.1675,392.1675,132.131,0.9635,62.403,195.498,15.665795089303957,10.665230153318017,10.588022235239345,0.633325067,0.42478764125,0.088569468,0.8986415785,0.38867337425,608.873,1247.929,334.633,15170.838,31093.737,8337.811,16.053,18.22,6.27,7.695,8.675,408.003,32.694,430.841,34.524,-22.838,-1.83,7.251,2.167,6.411609707374853,7.1292406562853765,9.028555990877527,11.3574525723476,31.598494208494223,33.634777606177614,9.5,South America,39.71292,45.93301,36.96682,22.48804,30.80569,56.39811,0.12555465321760007,NA,0.00105,YES,YES,NO,NO,NO,NO,NO,NO,NO,YES,YES,NO,NO,0,EM,0.125
Argentina,2010,-8.566028720065953,667.47125,45.05207441387171,0.2553696085041894,176.44825,135.52625,443.851,443.851,153.726,0.9445,68.94975,223.62025,13.457147740204281,9.307850114429558,9.251011451380828,0.64026724275,0.40688885375,0.08662924,0.903887407,0.41971640774999996,670.524,1661.721,424.729,16439.056,40739.985,10412.974,17.706,17.323,10.461,10.923,7.75,531.163,31.965,554.318,33.358,-23.155,-1.393,-1.623,-0.382,6.508059496264582,7.415609091287541,9.250807807647877,11.5611927566893,22.49457831325302,26.361271485943774,9.5,South America,43.33333,49.2823,42.65403,23.92344,33.17535,58.29384,0.0563348246392782,NA,9.1e-4,YES,YES,NO,NO,NO,NO,NO,NO,NO,YES,YES,NO,NO,0,EM,0.125
Argentina,2011,-7.773405236078933,733.80425,37.15005528007227,0.24119175445730465,121.39750000000001,165.23225,475.64925,475.64925,181.064,0.95675,76.13425,258.155,11.847276578872009,8.353315521077326,8.30940824883067,0.64787555375,0.36323845275,0.049891153,0.948821262,0.467301381,710.782,2179.024,527.644,17226.271,52810.117,12787.806,18.398,17.386,9.775,9.508,7.15,700.692,32.156,760.521,34.902,-59.828,-2.746,-5.341,-1.012,6.566365772380784,7.686632349110673,9.456247339592341,13.0207437952904,24.20257936507937,30.077896825396813,9.5,South America,44.07583,49.76303,52.1327,25.59242,33.33333,58.21596,0.09877049935089699,NA,NA,YES,YES,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,0,EM,0.125
Argentina,2012,-6.7481955544048615,867.67575,35.23521785224784,0.2170955321218473,139.9545,179.56675,585.644,585.644,193.839,0.85075,87.34175,282.03200000000004,10.691478190721911,7.380443410967909,7.34819254911267,0.673979543,0.3439643375,0.032383843,0.9658364025,0.50578107,703.486,2637.914,579.666,16856.718,63208.892,13889.792,16.502,16.133,10.043,10.842,7.2,891.704,33.803,971.317,36.821,-79.614,-3.018,-2.139,-0.369,6.556047975858914,7.877743732290964,9.53890946083425,13.1251461222574,17.815490196078425,24.584285490196052,9.5,South America,39.33649,46.91943,49.2891,20.85308,30.98592,57.277,0.17883605313766227,NA,NA,YES,YES,YES,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,0,EM,0.125
Argentina,2013,-5.485839182378987,1135.72675,37.08195486735359,0.17725768541212344,174.56799999999998,209.79649999999998,795.328,795.328,228.60925,1.1139999999999999,110.675,340.3985,10.166283985822092,6.860875701996353,6.827605166549793,0.70004914575,0.310531283,0.02148311425,0.97764555475,0.56587520775,720.407,3348.308,611.471,17070.071,79338.285,14488.829,17.306,15.159,10.619,10.946,7.075,1150.114,34.349,1259.062,37.603,-108.948,-3.254,-13.125,-2.146,6.57981633007858,8.116210422599092,9.581133217694346,13.4674417329858,14.22903100775193,18.533330620155034,9.5,South America,40.28436,45.97157,48.34123,18.00948,29.57747,56.80751,0.4127835874257116,28143.038630956402,NA,YES,YES,YES,YES,NO,NO,NO,NO,YES,NO,NO,NO,NO,0,EM,0.125
