country,yearQ,total_debt,debt_to_GDP,fx,nonbank_domestic_debt,bank_domestic_debt,official_domestic_debt,domestic_debt,nonbank_foreign_debt,bank_foreign_debt,official_foreign_debt,foreign_debt,ggall,extggall,gg,extgg,lccgg,extlccgg,delta,x,y,kappa,alpha
Argentina,2004Q1,414.771,94.56970043001749,0.35211267605633806,73.448,92.346,226.599,226.599,128.143,1.022,59.008,188.172,511.299,188.172,238.513,129.165,28.675,4.074,0.631972681,0.120224055,0.142074978,0.953588147,0.83679164
Argentina,2004Q2,432.916,95.27145901845454,0.34036759700476515,85.196,96.744,243.753,243.753,128.135,1.092,59.935,189.162,532.371,189.162,243.334,129.227,28.288,3.931,0.64468012,0.116251736,0.138963518,0.954534629,0.844733872
Argentina,2004Q3,439.244,93.27917734022193,0.33772374197906113,89.994,98.676,250.907,250.907,127.635,1.05,59.652,188.337,540.403,188.337,223.357,128.685,12.632,3.596,0.651487871,0.056555201,0.284673844,0.953804229,0.937903043
Argentina,2004Q4,460.077,94.8387460000973,0.33795201081446435,104.575,101.363,271.476,271.476,128.436,1.002,59.164,188.601,566.045,188.601,226.246,129.438,11.982,3.625,0.666809176,0.052960052,0.302537139,0.951912293,0.944605337
Argentina,2005Q1,448.619,89.190023515628,0.3451846738004833,111.039,102.121,273.466,273.466,118.041,0.915,56.196,175.153,549.717,175.153,211.961,118.957,10.301,3.587,0.681376053,0.048598563,0.34821862,0.946887468,0.953512252
Argentina,2005Q2,295.669,56.09768848888582,0.3487966515521451,4.554,103.331,163.836,163.836,77.247,0.678,53.907,131.833,362.578,131.833,174.539,77.925,78.503,11.487,0.636400995,0.449773403,0.146325618,0.818994633,0.396669655
Argentina,2005Q3,295.391,53.46448701831371,0.3460207612456747,4.818,100.091,160.18,160.18,81.013,0.707,53.491,135.211,362.423,135.211,176.419,81.72,81.492,20.893,0.626924892,0.461923036,0.256380994,0.68256181,0.452095852
Argentina,2005Q4,446.471,76.64243190115442,0.33200531208499334,147.787,99.199,302.523,302.523,88.934,0.683,54.331,143.948,387.434,143.948,197.814,89.617,93.702,22.937,0.628458008,0.473687403,0.244786664,0.68791587,0.430773354
Argentina,2006Q1,451.291,73.29100266320296,0.32658393207054215,152.241,90.17,296.129,296.129,100.752,0.756,53.655,155.163,391.746,155.163,231.52,101.508,91.054,23.74,0.603919376,0.393287837,0.260724405,0.741113977,0.518564711
Argentina,2006Q2,461.456,71.39888646221767,0.3261578604044358,153.972,95.851,300.881,300.881,106.507,0.905,53.163,160.576,400.573,160.576,240.146,107.412,94.656,25.395,0.59913424,0.394160219,0.268287272,0.736200543,0.51861865
Argentina,2006Q3,460.655,67.63621367306476,0.324254215304799,154.929,91.831,299.846,299.846,108.365,0.932,51.513,160.809,399.699,160.809,239.396,109.296,95.097,28.042,0.59767475,0.397237214,0.294877862,0.708851333,0.531349194
Argentina,2006Q4,479.501,66.97843578767761,0.3287310979618672,169.481,86.784,311.28,311.28,116.115,0.864,51.243,168.222,415.917,168.222,249.679,116.979,101.126,16.821,0.595539495,0.405024051,0.166337045,0.833431193,0.433029127
Argentina,2007Q1,483.039,64.52474522149659,0.3246753246753247,158.732,93.318,306.915,306.915,122.243,0.861,53.021,176.124,419.952,176.124,253.369,123.103,98.87,13.561,0.580609212,0.390221377,0.137159907,0.87237982,0.420094201
Argentina,2007Q2,488.443,61.617598279706776,0.3254149040026033,153.763,96.49,305.048,305.048,139.812,1.349,42.234,183.395,425.042,183.395,261.946,141.161,102.811,9.557,0.568524993,0.392489292,0.092956979,0.915442104,0.373809987
Argentina,2007Q3,493.399,58.81479307165588,0.3194888178913738,158.631,93.118,308.043,308.043,139.753,1.128,44.474,185.355,429.167,185.355,264.184,140.881,105.235,21.397,0.56810519,0.398339793,0.20332589,0.812471021,0.441393942
Argentina,2007Q4,519.821,57.952314177669194,0.31959092361776925,190.153,80.134,328.498,328.498,143.881,1.163,46.279,191.323,452.857,191.323,280.57,145.044,112.779,21.081,0.577520056,0.401963859,0.186923097,0.822154091,0.434084537
Argentina,2008Q1,521.328,54.221802735161184,0.3176620076238882,171.639,98.23,327.452,327.452,140.88,1.052,51.943,193.875,454.864,193.875,281.103,141.933,109.626,19.723,0.573773699,0.389985166,0.1799117,0.835385818,0.442598586
Argentina,2008Q2,516.549,49.72284984911343,0.3327787021630616,183.225,90.794,334.494,334.494,133.166,0.767,48.122,182.055,450.29,182.055,280.877,133.933,113.388,15.806,0.595693886,0.40369272,0.139397467,0.86081402,0.416782705
Argentina,2008Q3,519.882,46.99485773382725,0.32102728731942215,180.509,98.16,343.59,343.59,126.198,0.69,49.404,176.292,453.877,176.292,282.636,126.888,115.376,14.48,0.611586399,0.408214099,0.125502704,0.868099435,0.416301399
Argentina,2008Q4,552.969,48.099072728470645,0.2912904165452957,217.119,83.801,370.903,370.903,126.062,0.748,55.256,182.066,501.132,182.066,314.772,126.811,129.159,14.98,0.636690533,0.410325569,0.115981078,0.86900974,0.430279628
Argentina,2009Q1,556.633,47.59037106352014,0.27027027027027023,207.936,91.391,364.694,364.694,132.373,0.894,58.672,191.939,505.653,191.939,331.024,133.267,133.543,15.359,0.620413604,0.403423921,0.115011644,0.877765776,0.424536357
Argentina,2009Q2,585.413,49.652164961202,0.2647603918453799,215.696,94.497,389.646,389.646,133.497,1.053,61.218,195.768,531.175,195.768,346.662,134.55,142.004,12.011,0.631443498,0.409632437,0.084582124,0.905991126,0.40614662
Argentina,2009Q3,597.086,49.73479079371661,0.26157467957101754,209.771,105.215,399.034,399.034,133.533,1.025,63.493,198.052,541.585,198.052,346.704,134.559,143.72,12.419,0.634310404,0.414532281,0.086411077,0.90204758,0.402954613
Argentina,2009Q4,611.528,49.00345122814311,0.2645502645502646,211.482,106.551,415.296,415.296,129.121,0.882,66.229,196.233,556.11,196.233,392.08,130.003,184.89,12.623,0.647132762,0.471561926,0.068273027,0.908761832,0.321055907
Argentina,2010Q1,644.07,48.624958979789255,0.2592016588906169,202.357,117.495,445.658,445.658,130.342,0.832,67.238,198.412,585.517,198.412,416.773,131.174,176.038,12.795,0.661133665,0.422383408,0.072683171,0.909403319,0.407558164
Argentina,2010Q2,674.492,47.06137260795643,0.25568908207619534,197.063,135.603,460.044,460.044,145.297,0.943,68.208,214.448,612.819,214.448,440.425,146.24,179.918,5.223,0.650063069,0.408509962,0.029029891,0.966111037,0.389826955
Argentina,2010Q3,697.657,45.185278011490865,0.25380710659898476,182.884,145.666,461.487,461.487,166.012,1.068,69.09,236.17,633.907,236.17,456.271,167.08,180.64,18.2,0.627437463,0.395905065,0.100752879,0.892934552,0.432586495
Argentina,2010Q4,653.666,39.33668805625029,0.2527805864509606,123.489,143.341,408.215,408.215,173.253,0.935,71.263,245.451,650.089,245.451,461.307,174.188,184.872,26.631,0.622434774,0.40075698,0.144051019,0.84710072,0.448894017
Argentina,2011Q1,701.938,39.45217232602792,0.2478929102627665,94.241,173.065,447.762,447.762,180.716,0.985,72.475,254.176,701.938,254.176,507.346,181.701,185.402,12.411,0.637893945,0.365435029,0.066941025,0.932443561,0.465471595
Argentina,2011Q2,725.787,37.86100849414191,0.24449877750611249,105.675,177.27,465.743,465.743,184.396,0.957,74.691,260.044,725.787,260.044,524.091,185.353,188.847,9.703,0.641707553,0.360332461,0.051380218,0.948327238,0.467329784
Argentina,2011Q3,737.236,35.93836464066984,0.23894862604540026,122.547,168.642,477.962,477.962,181.27,0.992,77.012,259.274,737.236,259.274,527.093,182.262,191.697,9.5,0.648316143,0.363687243,0.049557374,0.948751174,0.466828241
Argentina,2011Q4,770.256,35.34867565944943,0.2334267040149393,163.127,141.952,511.13,511.13,177.874,0.893,80.359,259.126,770.256,259.126,539.685,178.767,196.175,6.216,0.663584574,0.363499078,0.031685995,0.965763075,0.469575904
Argentina,2012Q1,793.288,34.592964428013914,0.22941041523285158,123.735,180.372,522.275,522.275,188.197,0.964,81.852,271.014,793.288,271.014,552.102,189.162,198.619,6.412,0.658366192,0.359750553,0.032282914,0.966005133,0.471211066
Argentina,2012Q2,827.269,34.51699394626348,0.22099447513812154,130.667,183.27,550.551,550.551,191.14,0.798,84.78,276.718,827.269,276.718,579.769,191.938,197.985,6.747,0.665504207,0.341489455,0.034078339,0.965209148,0.504357661
Argentina,2012Q3,879.02,35.01673942566532,0.21381227282446014,124.908,194.912,598.203,598.203,191.753,0.837,88.226,280.817,879.02,280.817,608.773,192.591,207.574,6.673,0.680534004,0.340971101,0.032147571,0.965688389,0.515072419
Argentina,2012Q4,971.126,36.81417360904866,0.2041649652919559,180.508,159.713,671.547,671.547,204.266,0.804,94.509,299.579,971.126,299.579,655.146,205.07,218.587,6.782,0.691513769,0.333646241,0.031026548,0.96644294,0.532483134
Argentina,2013Q1,1000.296,36.062706205423005,0.1960015680125441,145.928,208.117,694.948,694.948,207.056,0.806,97.486,305.348,1000.296,305.348,679.99,207.862,225.817,5.846,0.694742356,0.332088707,0.025888219,0.971836298,0.53437196
Argentina,2013Q2,1056.817,35.728040732527774,0.18604651162790697,154.837,219.767,738.406,738.406,213.598,0.976,103.836,318.411,1056.817,318.411,711.864,214.574,233.704,5.077,0.698707534,0.328298664,0.021724061,0.976328714,0.540341748
Argentina,2013Q3,1164.447,37.07393910100733,0.17316017316017315,156.362,227.137,822.619,822.619,229.46,1.214,111.153,341.827,1164.447,341.827,797.835,230.674,233.648,4.475,0.706446923,0.292852532,0.019152743,0.980892964,0.593396767
Argentina,2013Q4,1321.347,39.463133430456246,0.15382248884786956,241.145,184.165,925.339,925.339,264.323,1.46,130.225,396.008,1321.347,396.008,898.651,265.784,259.607,4.976,0.70029977,0.288885229,0.019167434,0.981524243,0.595390356
