country,yearQ,year,quarter,total_debt,debt_to_GDP,fx,nonbank_domestic_debt,bank_domestic_debt,official_domestic_debt,domestic_debt,nonbank_foreign_debt,bank_foreign_debt,official_foreign_debt,foreign_debt,woe_country_code,GDP_cte,GDP_cur,GDP_per_cap_cte,inflation_mean,inflation_end,unemployment,lending_borroeing_rate,account_balance,develop,ln_GDP_cte,ln_GDP_cur,ln_GDP_per_cap_cte,taxes,vix_EUA,vix_EUR,Scale,nominal_rate,GDP_per_cap_cur_USD,ln_GDP_per_cap_cur,yearnum,post_08,post_09,post_15,post_16,post_17,ticker.x,fx_volatility.x,ticker.y,fx_volatility.y
Argentina,2004Q4,2004,4,436.752,94.48977069719781,0.34203900646365715,88.30324999999999,97.28225,248.18375,248.18375,128.08725,1.0415,59.439750000000004,188.56799999999998,213,8911,482220,7896,4.416,6.101,13.625,3.967,1.798,EM,9.09504174761272,13.08615572043482,8.974111581113318,18.8897776425385,15.456793893129769,18.886297709923657,Units,2.5,4277.721350643886,8.361175752094086,2004,NO,NO,NO,NO,NO,1,0.05518683395439363,ARS,0.05518683395439363
Argentina,2005Q4,2005,4,371.5375,68.84865773099548,0.34300184967082414,67.0495,101.18549999999999,225.00125000000003,225.00125000000003,91.30875,0.74575,54.48125,146.53625,213,8852,541253,7819,9.642,12.327,11.575,3.341,2.473,EM,9.08839870117094,13.201642101008648,8.964311948124514,19.8298881184074,12.779846153846155,14.031134999999999,Units,5,5109.851325226213,8.538925587906817,2005,NO,NO,NO,NO,NO,1,0.05558430427652448,ARS,0.05558430427652448
Argentina,2006Q4,2006,4,463.22575,69.82613464654075,0.32643177643541105,157.65575,91.159,302.034,302.034,107.93475,0.86425,52.3935,161.1925,213,8047,602507,6998,10.898,9.841,10.175,1.65,2.791,EM,8.993054630146133,13.308854562536718,8.853379672927634,18.6619929052431,12.78038461538462,16.52674884615384,Units,6.25,5919.012037077532,8.6859248283223,2006,NO,NO,NO,NO,NO,1,0.03053819521182231,ARS,0.03053819521182231
Argentina,2007Q4,2007,4,496.1755,60.72736268763211,0.32229249254676773,165.31975,90.765,312.126,312.126,136.42225,1.1252499999999999,46.502,184.04925,213,9008,674423,7939,8.83,8.468,8.475,7.57e-4,2.1,EM,9.105868350379472,13.421612789477328,8.979542601725113,14.2354844249788,17.45256704980844,19.614428735632167,Units,10.75,7245.448317289446,8.888128732383379,2007,NO,NO,NO,NO,NO,1,0.030949624843043585,ARS,0.030949624843043585
Argentina,2008Q4,2008,4,527.682,49.75964576164313,0.3156896034129169,188.123,92.74625,344.10975,344.10975,131.5765,0.81425,51.18125,183.572,213,4057,715435,3038,8.585,7.238,7.875,3.52e-4,1.492,EM,8.308199063206446,13.48064602828939,8.018954683155718,13.0827459285192,32.58267175572519,33.70876145038169,Units,12.05,9020.873098071945,9.107296404167375,2008,YES,NO,NO,NO,NO,1,0.1178933712241314,ARS,0.1178933712241314
Argentina,2009Q4,2009,4,587.665,48.995194511645465,0.26528890155923307,211.22125,99.4135,392.1675,392.1675,132.131,0.9635,62.403,195.498,213,-5919,678224,-6830,6.27,7.695,8.675,-1.83,2.167,EM,NA,13.427232895838754,NA,11.3574525723476,31.598494208494223,33.634777606177614,Units,9.5,8225.137176264117,9.01495025345974,2009,YES,YES,NO,NO,NO,1,0.12555465321760007,ARS,0.12555465321760007
Argentina,2010Q4,2010,4,667.47125,45.05207441387171,0.2553696085041894,176.44825,135.52625,443.851,443.851,153.726,0.9445,68.94975,223.62025,213,10125,755600,8360,10.461,10.923,7.75,-1.393,-3.82e-4,EM,9.22276289197474,13.535267414609491,9.031213706078747,11.5611927566893,22.49457831325302,26.361271485943774,Units,9.5,10385.964431955525,9.248210599784066,2010,YES,YES,NO,NO,NO,1,0.0563348246392782,ARS,0.0563348246392782
Argentina,2011Q4,2011,4,733.80425,37.15005528007227,0.24119175445730465,121.39750000000001,165.23225,475.64925,475.64925,181.064,0.95675,76.13425,258.155,213,6004,817698,4789,9.775,9.508,7.15,-2.746,-1.012,EM,8.700181192753353,13.614248354262278,8.47407690034261,13.0207437952904,24.20257936507937,30.077896825396813,Units,9.5,12848.86419697053,9.461010697075983,2011,YES,YES,NO,NO,NO,1,0.09877049935089699,ARS,0.09877049935089699
Argentina,2012Q4,2012,4,867.67575,35.23521785224784,0.2170955321218473,139.9545,179.56675,585.644,585.644,193.839,0.85075,87.34175,282.03200000000004,213,-1026,824828,-2145,10.043,10.842,7.2,-3.018,-3.6899999999999997e-4,EM,NA,13.622930158732347,NA,13.1251461222574,17.815490196078425,24.584285490196052,Units,9.5,13082.664325571988,9.479043298883854,2012,YES,YES,NO,NO,NO,1,0.17883605313766227,ARS,0.17883605313766227
Argentina,2013Q4,2013,4,1135.72675,37.08195486735359,0.17725768541212344,174.56799999999998,209.79649999999998,795.328,795.328,228.60925,1.1139999999999999,110.675,340.3985,213,2405,859487,1266,10.619,10.946,7.075,-3.254,-2.146,EM,7.785305182539862,13.664090978617939,7.143617602704121,13.4674417329858,14.22903100775193,18.533330620155034,Units,9.5,13080.254732336658,9.47885909977084,2013,YES,YES,NO,NO,NO,1,0.4127835874257116,ARS,0.4127835874257116
