country,yearQ,year,quarter,total_debt_,debt_to_GDP_,fx_,nonbank_domestic_debt_,bank_domestic_debt_,official_domestic_debt_,domestic_debt_,nonbank_foreign_debt_,bank_foreign_debt_,official_foreign_debt_,foreign_debt_,woe_country_code,GDP_cte,GDP_cur,GDP_per_cap_cte,inflation_mean,inflation_end,unemployment,lending_borroeing_rate,account_balance,taxes,vix_EUA,vix_EUR,Scale,nominal_rate,continent
Argentina,2004Q4,2004,4,436.752,94.48977069719781,0.34203900646365715,88.30324999999999,97.28225,248.18375,248.18375,128.08725,1.0415,59.439750000000004,188.56799999999998,213,8911,482220,7896,4416,6101,13625,3967,1798,18.8897776425385,15.456793893129769,18.886297709923657,Units,2.5,South America
Argentina,2005Q4,2005,4,371.5375,68.84865773099548,0.34300184967082414,67.0495,101.18549999999999,225.00125000000003,225.00125000000003,91.30875,0.74575,54.48125,146.53625,213,8852,541253,7819,9642,12327,11575,3341,2473,19.8298881184074,12.779846153846155,14.031134999999999,Units,5,South America
Argentina,2006Q4,2006,4,463.22575,69.82613464654075,0.32643177643541105,157.65575,91.159,302.034,302.034,107.93475,0.86425,52.3935,161.1925,213,8047,602507,6998,10898,9841,10175,1650,2791,18.6619929052431,12.78038461538462,16.52674884615384,Units,6.25,South America
Argentina,2007Q4,2007,4,496.1755,60.72736268763211,0.32229249254676773,165.31975,90.765,312.126,312.126,136.42225,1.1252499999999999,46.502,184.04925,213,9008,674423,7939,8830,8468,8475,0.757,2100,14.2354844249788,17.45256704980844,19.614428735632167,Units,10.75,South America
Argentina,2008Q4,2008,4,527.682,49.75964576164313,0.3156896034129169,188.123,92.74625,344.10975,344.10975,131.5765,0.81425,51.18125,183.572,213,4057,715435,3038,8585,7238,7875,0.352,1492,13.0827459285192,32.58267175572519,33.70876145038169,Units,12.05,South America
Argentina,2009Q4,2009,4,587.665,48.995194511645465,0.26528890155923307,211.22125,99.4135,392.1675,392.1675,132.131,0.9635,62.403,195.498,213,-5919,678224,-6830,6270,7695,8675,-1830,2167,11.3574525723476,31.598494208494223,33.634777606177614,Units,9.5,South America
Argentina,2010Q4,2010,4,667.47125,45.05207441387171,0.2553696085041894,176.44825,135.52625,443.851,443.851,153.726,0.9445,68.94975,223.62025,213,10125,755600,8360,10461,10923,7750,-1393,-0.382,11.5611927566893,22.49457831325302,26.361271485943774,Units,9.5,South America
Argentina,2011Q4,2011,4,733.80425,37.15005528007227,0.24119175445730465,121.39750000000001,165.23225,475.64925,475.64925,181.064,0.95675,76.13425,258.155,213,6004,817698,4789,9775,9508,7150,-2746,-1012,13.0207437952904,24.20257936507937,30.077896825396813,Units,9.5,South America
Argentina,2012Q4,2012,4,867.67575,35.23521785224784,0.2170955321218473,139.9545,179.56675,585.644,585.644,193.839,0.85075,87.34175,282.03200000000004,213,-1026,824828,-2145,10043,10842,7200,-3018,-0.369,13.1251461222574,17.815490196078425,24.584285490196052,Units,9.5,South America
Argentina,2013Q4,2013,4,1135.72675,37.08195486735359,0.17725768541212344,174.56799999999998,209.79649999999998,795.328,795.328,228.60925,1.1139999999999999,110.675,340.3985,213,2405,859487,1266,10619,10946,7075,-3254,-2146,13.4674417329858,14.22903100775193,18.533330620155034,Units,9.5,South America
