country,yearQ,year,quarter,total_debt_,debt_to_GDP_,fx_,nonbank_domestic_debt_,bank_domestic_debt_,official_domestic_debt_,domestic_debt_,nonbank_foreign_debt_,bank_foreign_debt_,official_foreign_debt_,foreign_debt_,woe_country_code,GDP_cte,GDP_cur,GDP_per_cap_cte,inflation_mean,inflation_end,unemployment,lending_borroeing_rate,account_balance,develop,ln_GDP_cte,ln_GDP_cur,ln_GDP_per_cap_cte,lending_GDP,account_GPD,taxes,vix_EUA,vix_EUR,Scale,nominal_rate,continent,GDP_per_cap_cur_USD,control_corruption_rank,effectiveness_rank,political_stability_rank,regulatory_quality_rank,rule_of_law_rank,voice_rank
Argentina,2004Q4,2004,4,436.752,94.48977069719781,0.34203900646365715,88.30324999999999,97.28225,248.18375,248.18375,128.08725,1.0415,59.439750000000004,188.56799999999998,213,8911,482220,7896,4416,6101,13625,3967,1798,EM,9.09504174761272,13.08615572043482,8.974111581113318,0.008226535606154868,0.003728588611007424,18.8897776425385,15.456793893129769,18.886297709923657,Units,2.5,South America,4277.721350643886,40,55.17241,26.21359,23.64532,23.92344,59.61538
Argentina,2005Q4,2005,4,371.5375,68.84865773099548,0.34300184967082414,67.0495,101.18549999999999,225.00125000000003,225.00125000000003,91.30875,0.74575,54.48125,146.53625,213,8852,541253,7819,9642,12327,11575,3341,2473,EM,9.08839870117094,13.201642101008648,8.964311948124514,0.006172714054240808,0.004569027792917545,19.8298881184074,12.779846153846155,14.031134999999999,Units,5,South America,5109.851325226213,43.41463,50.98039,44.17476,31.86275,34.92823,59.13462
Argentina,2006Q4,2006,4,463.22575,69.82613464654075,0.32643177643541105,157.65575,91.159,302.034,302.034,107.93475,0.86425,52.3935,161.1925,213,8047,602507,6998,10898,9841,10175,1650,2791,EM,8.993054630146133,13.308854562536718,8.853379672927634,0.0027385573943539245,0.004632311325843517,18.6619929052431,12.78038461538462,16.52674884615384,Units,6.25,South America,5919.012037077532,42.92683,55.12195,45.89372,26.47059,34.44976,58.17308
Argentina,2007Q4,2007,4,496.1755,60.72736268763211,0.32229249254676773,165.31975,90.765,312.126,312.126,136.42225,1.1252499999999999,46.502,184.04925,213,9008,674423,7939,8830,8468,8475,0.757,2100,EM,9.105868350379472,13.421612789477328,8.979542601725113,1.1224409606433943e-6,0.0031137728102392714,14.2354844249788,17.45256704980844,19.614428735632167,Units,10.75,South America,7245.448317289446,45.14563,53.39806,46.85991,25.72816,34.44976,58.65385
Argentina,2008Q4,2008,4,527.682,49.75964576164313,0.3156896034129169,188.123,92.74625,344.10975,344.10975,131.5765,0.81425,51.18125,183.572,213,4057,715435,3038,8585,7238,7875,0.352,1492,EM,8.308199063206446,13.48064602828939,8.018954683155718,4.920083585510912e-7,0.002085444519767694,13.0827459285192,32.58267175572519,33.70876145038169,Units,12.05,South America,9020.873098071945,39.32039,50.48544,40.86538,23.30097,27.88461,58.17308
Argentina,2009Q4,2009,4,587.665,48.995194511645465,0.26528890155923307,211.22125,99.4135,392.1675,392.1675,132.131,0.9635,62.403,195.498,213,-5919,678224,-6830,6270,7695,8675,-1830,2167,EM,NA,13.427232895838754,NA,-0.002698223595744179,0.0031951095803156478,11.3574525723476,31.598494208494223,33.634777606177614,Units,9.5,South America,8225.137176264117,39.71292,45.93301,36.96682,22.48804,30.80569,56.39811
Argentina,2010Q4,2010,4,667.47125,45.05207441387171,0.2553696085041894,176.44825,135.52625,443.851,443.851,153.726,0.9445,68.94975,223.62025,213,10125,755600,8360,10461,10923,7750,-1393,-0.382,EM,9.22276289197474,13.535267414609491,9.031213706078747,-0.0018435680254102699,-5.05558496559026e-7,11.5611927566893,22.49457831325302,26.361271485943774,Units,9.5,South America,10385.964431955525,43.33333,49.2823,42.65403,23.92344,33.17535,58.29384
Argentina,2011Q4,2011,4,733.80425,37.15005528007227,0.24119175445730465,121.39750000000001,165.23225,475.64925,475.64925,181.064,0.95675,76.13425,258.155,213,6004,817698,4789,9775,9508,7150,-2746,-1012,EM,8.700181192753353,13.614248354262278,8.47407690034261,-0.0033582080425780666,-0.0012376207352836866,13.0207437952904,24.20257936507937,30.077896825396813,Units,9.5,South America,12848.86419697053,44.07583,49.76303,52.1327,25.59242,33.33333,58.21596
Argentina,2012Q4,2012,4,867.67575,35.23521785224784,0.2170955321218473,139.9545,179.56675,585.644,585.644,193.839,0.85075,87.34175,282.03200000000004,213,-1026,824828,-2145,10043,10842,7200,-3018,-0.369,EM,NA,13.622930158732347,NA,-0.0036589446527033513,-4.473659963046841e-7,13.1251461222574,17.815490196078425,24.584285490196052,Units,9.5,South America,13082.664325571988,39.33649,46.91943,49.2891,20.85308,30.98592,57.277
Argentina,2013Q4,2013,4,1135.72675,37.08195486735359,0.17725768541212344,174.56799999999998,209.79649999999998,795.328,795.328,228.60925,1.1139999999999999,110.675,340.3985,213,2405,859487,1266,10619,10946,7075,-3254,-2146,EM,7.785305182539862,13.664090978617939,7.143617602704121,-0.0037859793109145338,-0.002496838230246647,13.4674417329858,14.22903100775193,18.533330620155034,Units,9.5,South America,13080.254732336658,40.28436,45.97157,48.34123,18.00948,29.57747,56.80751
Argentina,2014Q4,2014,4,1723.8197499999999,42.01984119679042,0.12157788112063306,194.0185,316.895,1135.2952500000001,1135.2952500000001,363.44475,4.71125,220.368,588.5245,213,-2513,853398,-3579,NA,23915,7250,-4252,-1628,EM,NA,13.656981306166381,NA,-0.004982434924853351,-0.0019076679345393357,13.8493099484698,14.131210937500002,18.281921875000005,Units,26.8599,South America,12334.79824538929,35.09615,46.63462,45.71429,12.5,18.75,59.1133
Argentina,2015Q4,2015,4,2838.3615,53.06579468475232,0.10191177476865623,733.321,448.78625,2115.1345,2115.1345,426.019,8.0465,289.162,723.227,213,2731,885833,1630,NA,NA,6533,-6001,-2743,EM,7.912423121473705,13.69428372423655,7.396335293800808,-0.0067744145905605235,-0.0030965204502428787,15.157971390293,16.721011673151743,23.99266614785993,Units,33.0009,South America,13789.060424772022,33.65385,50,46.19048,17.30769,24.03846,60.09852
Argentina,2016Q4,2016,4,4018.51575,54.673316342480895,0.06585309405919687,668.0297499999999,569.70975,2559.97525,2559.97525,1006.7057500000001,21.56925,430.2655,1458.5407500000001,213,-2080,876387,-3110,NA,NA,8467,-6655,-2713,EM,NA,13.68356305318403,NA,-0.007593677222505583,-0.003095664358325717,12.3798741053662,15.863488372093013,23.590334883720946,Units,24.7503,South America,12790.242473244707,47.11538,60.09615,52.85714,33.65385,37.5,63.5468
Argentina,2017Q4,2017,4,5550.884,57.428399119345166,0.05918573446469853,915.05375,750.69975,3306.148,3306.148,1659.4515,58.352000000000004,526.9325,2244.736,213,2669,916719,1609,25675,24796,8350,-6703,-4843,EM,7.889459149404524,13.728556270254112,7.3833681469923835,-0.0073119461907083854,-0.005282971117648919,12.9299128513563,11.090891472868222,14.76677790697675,Units,28.75,South America,14591.863381054129,47.59615,58.65385,53.33333,41.34615,46.15385,65.51724
Argentina,2018Q4,2018,4,10276.95675,78.8750322968998,0.0335407481992433,1633.2459999999999,1165.04975,5063.49475,5063.49475,3398.5355,213.88825,1601.0384999999999,5213.4619999999995,213,-2482,915749,-3467,34277,47646,9200,-5493,-5247,EM,NA,13.727497588639373,NA,-0.0059983685485870035,-0.005729735986607684,10.4399989344901,16.569101562499988,16.331809375,Units,59.252,South America,11683.949621636286,54.32692,54.80769,46.66667,42.30769,45.67308,66.99507
Argentina,2019Q4,2019,4,16292.72525,87.6624047187976,0.020212024549319352,3129.9629999999997,1846.3725,7539.855750000001,7539.855750000001,5036.21375,148.959,3567.69675,8752.8695,213,-2163,911562,-3132,53548,53832,9825,-3869,-0.771,EM,NA,13.722914890535286,NA,-0.004244362972567966,-8.458009438743607e-7,NA,15.383007812499997,15.049324218750007,Units,55,South America,10006.14897360816,NA,NA,NA,NA,NA,NA
Brazil,2004Q4,2004,4,1300.11,69.90797902966088,0.3481384079235048,430.35775,332.85425,1070.5439999999999,1070.5439999999999,156.21224999999998,14.70325,58.650999999999996,229.566,223,5757,1924.531,4510,6598,7601,12900,-2880,1698,EM,8.65817178467581,7.5624375806740876,8.414052432496725,-1.496468490245156,0.8822928807070398,26.4556653594464,15.456793893129769,18.886297709923657,Units,17.75,South America,3637.462389257333,56.58537,58.12808,36.40777,55.17241,41.62679,60.57692
Brazil,2005Q4,2005,4,1415.35675,67.70956287254296,0.4195794551089283,542.78775,366.18525,1219.44225,1219.44225,138.814,13.0335,44.06725,195.9145,223,3192,2047.816,2006,6870,5690,11400,-3542,1521,EM,8.068402958569699,7.624529138373207,7.603897968521881,-1.729647585525262,0.7427425120225645,28.3634370955445,12.779846153846155,14.031134999999999,Units,18,South America,4790.43708777366,52.68293,52.94118,37.86408,55.39216,39.23445,63.94231
Brazil,2006Q4,2006,4,1505.98025,65.19641079673852,0.46267861994633686,614.2555,412.52375,1330.022,1330.022,124.456,13.5535,37.948499999999996,175.95825,223,3955,2193.24,2804,4184,3142,11500,-3574,1178,EM,8.282735880201754,7.693135181554351,7.938802248154481,-1.6295526253396804,0.5371049223979136,24.8520432886448,12.78038461538462,16.52674884615384,Units,13.25,South America,5886.463588377282,54.14634,43.90244,35.2657,53.92157,44.01914,61.05769
Brazil,2007Q4,2007,4,1657.0605,63.56428133914289,0.5290312293140773,689.84875,465.41275,1487.499,1487.499,117.087,18.285,34.1895,169.56150000000002,223,6064,2388.726,4955,3641,4457,10900,-2739,0.029,EM,8.710124927322207,7.778515448408249,8.508152446764088,-1.146636324132613,1.2140362687055779e-5,26.0294977676979,17.45256704980844,19.614428735632167,Units,11.25,South America,7348.030793555481,55.33981,48.05825,32.85024,53.39806,43.54067,63.94231
Brazil,2008Q4,2008,4,1795.28975,60.7218194584856,0.5377820817711229,681.8824999999999,486.67925,1593.498,1593.498,144.18125,22.3465,35.264250000000004,201.79175,223,5095,2559.265,4010,5678,5902,9400,-1534,-1808,EM,8.536014945656826,7.847475386874821,8.296546520300614,-0.5993908407296626,-0.7064528292302673,26.6374823597166,32.58267175572519,33.70876145038169,Units,13.75,South America,8831.023116975657,59.2233,52.42719,33.65385,54.36893,46.15385,63.94231
Brazil,2009Q4,2009,4,2010.19375,62.28175151794378,0.5232692184135805,697.90725,536.5035,1789.82875,1789.82875,155.683,28.2925,36.3895,220.365,223,-0.119,2575.7,-1139,4888,4312,9700,-3190,-1575,EM,NA,7.853876620814966,NA,-1.2384982723143223,-0.6114842567069146,28.0040385387696,31.598494208494223,33.634777606177614,Units,8.75,South America,8597.915351516234,56.45933,51.67464,51.18483,54.54546,50.7109,62.55924
Brazil,2010Q4,2010,4,2313.87275,62.97085270227002,0.5726566304698889,789.2495,558.7925,2039.4882499999999,2039.4882499999999,192.26925,45.792,36.32325,274.3845,223,7545,2802.32,6491,5039,5909,8500,-3826,-3579,EM,8.928640371201949,7.938202924516056,8.778171881033469,-1.3652973250735105,-1.2771560706842902,22.9312166527622,22.49457831325302,26.361271485943774,Units,10.75,South America,11286.243016245748,60,54.06699,45.97157,55.02392,55.92417,65.87678
Brazil,2011Q4,2011,4,2545.257,60.516202040731,0.5830739598187265,960.99425,557.925,2251.639,2251.639,203.23475,55.45675,34.92675,293.618,223,3986,2974.902,3080,6636,6503,7800,-2467,-2918,EM,8.29054350077274,7.997966376260687,8.03268487596762,-0.8292710146418268,-0.9808726472334215,24.64483555089,24.20257936507937,30.077896825396813,Units,11,South America,13245.612499544754,63.03318,50.7109,41.23223,55.92417,56.33803,63.38028
Brazil,2012Q4,2012,4,2834.216,60.9661902278475,0.5010914601095733,1011.52,591.015,2475.465,2475.465,247.95825,64.67525,46.1175,358.751,223,1928,3090.412,1048,5404,5839,7400,-2519,-3400,EM,7.564238475170491,8.036059694337025,6.954638864880987,-0.8151016757636199,-1.1001769343375576,21.1685914800248,17.815490196078425,24.584285490196052,Units,7.25,South America,12370.024200714892,58.29384,49.76303,46.4455,55.45024,53.05164,62.9108
Brazil,2013Q4,2013,4,3014.694,58.77864899850118,0.4535159305891444,1033.90525,606.165,2574.90125,2574.90125,309.976,64.274,65.543,439.79274999999996,223,3008,3239.228,2138,6204,5911,7200,-2955,-3228,EM,8.00903068506973,8.083090308790249,7.6676260915849905,-0.9122544013573605,-0.9965337419903755,21.958795835411,14.22903100775193,18.533330620155034,Units,10,South America,12300.32488227575,55.92417,50.7109,36.96682,54.50237,52.58216,60.56338
Brazil,2014Q4,2014,4,3332.7075,59.18802699461291,0.4202117835619369,1089.963,693.153,2815.2309999999998,2815.2309999999998,362.2775,70.735,84.46375,517.4765,223,0.505,3315.854,-0.349,6329,6408,6783,-6021,-4130,EM,-0.6831968497067772,8.10647048633534,NA,-1.8158218063883393,-1.2455313171207176,22.2918068284596,14.131210937500002,18.281921875000005,Units,11.75,South America,12112.588205969725,46.63462,47.59615,42.85714,51.44231,56.25,62.06897
Brazil,2015Q4,2015,4,4016.5805,67.74215115694629,0.28272091458252524,1337.02,761.931,3312.948,3312.948,481.27875,88.381,133.97325,703.6324999999999,223,-3551,3231.412,-4384,9030,10673,8283,-10254,-3026,EM,NA,8.08067447239652,NA,-3.1732258220245515,-0.9364327420954061,20.7688374843238,16.721011673151743,23.99266614785993,Units,14.25,South America,8814.000986812613,42.78846,48.07692,34.28571,48.07692,51.44231,62.06897
Brazil,2016Q4,2016,4,4577.9915,74.38469444833623,0.3000741700656912,1711.17375,805.22525,3920.5225,3920.5225,444.46975,91.2705,121.72874999999999,657.469,223,-3285,3157.627,-4077,8740,6288,11258,-8994,-1349,EM,NA,8.057576075110154,NA,-2.8483414918861536,-0.4272195544312232,22.1950298757405,15.863488372093013,23.590334883720946,Units,13.75,South America,8710.096689541213,42.78846,46.63462,31.90476,46.63462,49.03846,62.06897
Brazil,2017Q4,2017,4,5242.3475,81.00457556420992,0.30901979366869625,2103.1385,865.105,4630.68275,4630.68275,385.241,108.188,118.2355,611.66475,223,1314,3259.359,0.506,3446,2947,12767,-7860,-0.728,EM,7.1808311990445555,8.089285829260502,-0.6812186096946715,-2.411517111186586,-2.2335680113789246e-4,24.9622611349703,11.090891472868222,14.76677790697675,Units,7,South America,9925.386237700412,36.05769,41.82692,30.47619,51.44231,43.26923,61.57635
Brazil,2018Q4,2018,4,5788.1525,85.50038132138508,0.2670541052090802,2403.1305,953.5285,5129.14325,5129.14325,416.995,116.21724999999999,125.797,659.00925,223,1312,3382.591,0.491,3665,3745,12258,-7166,-2204,EM,7.179307969504034,8.126397262861182,-0.7113111511876165,-2.1184943731003836,-0.6515715320001738,24.4969798393443,16.569101562499988,16.331809375,Units,6.5,South America,9001.234248634986,40.38462,36.05769,31.90476,39.90385,44.23077,60.59113
Brazil,2019Q4,2019,4,6198.00475,87.23171406238194,0.2514881336701547,2589.3137500000003,1055.7715,5483.7605,5483.7605,450.66125,129.84725,133.736,714.24425,223,1133,3480.546,0.338,3733,4306,11925,-6017,-2690,EM,7.0326242610280065,8.154944457013267,-1.0847093834991182,-1.7287517533168648,-0.7728672455413605,NA,15.383007812499997,15.049324218750007,Units,4.5,South America,8717.186278108185,NA,NA,NA,NA,NA,NA
Bulgaria,2004Q4,2004,4,15.639,39.772257468715985,0.6443425627575807,1.084,2.19725,5.0325,5.0325,5.84675,0.6957500000000001,4.06375,10.6065,918,6442,82110,6994,6149,3966,12192,1593,-4277,EM,8.770594329891145,11.315815090702834,8.852807917623322,0.01940080379978078,-0.05208866155157715,NA,15.456793893129769,18.886297709923657,Units,NA,Europe,3389.707048831015,58.04878,63.05419,45.14563,72.4138,49.2823,66.34615
Bulgaria,2005Q4,2005,4,13.08475,29.468820031631804,0.6249801826269712,1.20375,2.5165,5.041,5.041,3.1397500000000003,0.75675,4.1475,8.04375,918,7154,90724,7741,6038,7394,10177,2187,-9428,EM,8.875426919818963,11.415577209700327,8.954286157204713,0.024106079978836913,-0.10391958026542039,12.8578344824811,12.779846153846155,14.031134999999999,Units,NA,Europe,3899.9076377401716,58.04878,60.78431,51.45631,69.11765,50.23923,66.34615
Bulgaria,2006Q4,2006,4,11.47675,22.676287128565534,0.6473700857969272,0.97625,2.8529999999999998,4.55575,4.55575,2.01625,1.1835,3.7205,6.92075,918,6802,99828,7351,7416,6093,9022,3221,-15280,EM,8.82497196556714,11.511203984071887,8.902591637374087,0.0322654966542453,-0.15306326882237448,13.7159110560133,12.78038461538462,16.52674884615384,Units,3.26,Europe,4523.050832980599,56.09756,54.63415,57.48792,68.13725,51.19617,65.86539
Bulgaria,2007Q4,2007,4,10.465,17.63881174283738,0.7118969414921483,0.94075,3.1095,4.24,4.24,1.16825,1.40725,3.64975,6.22525,918,6557,109231,7102,7572,11563,6935,3088,-23907,EM,8.788288460263619,11.601220184789732,8.868131713503033,0.028270362809092658,-0.21886643901456546,19.6006709255934,17.45256704980844,19.614428735632167,Units,4.58,Europe,5885.104347818366,52.42719,53.8835,56.03865,70.87379,53.11005,68.26923
Bulgaria,2008Q4,2008,4,9.5365,13.819729745786132,0.7666522343178879,1.17725,3.1727499999999997,4.34975,4.34975,0.76575,1.3995,3.02125,5.1865000000000006,918,6086,118132,6555,11951,7191,5664,2734,-22094,EM,8.713746330456916,11.679557922299542,8.7879833961978,0.023143602072258154,-0.18702807029424712,15.8041660733492,32.58267175572519,33.70876145038169,Units,5.77,Europe,7265.735496829973,49.51456,53.39806,56.25,72.81554,52.40385,65.86539
Bulgaria,2009Q4,2009,4,9.693,13.148068950474473,0.7212034858056378,1.33525,3.085,4.4197500000000005,4.4197500000000005,0.554,1.33375,3.385,5.273,918,-3424,114958,-2877,2469,1637,6878,-0.856,-8319,EM,NA,11.65232212324597,NA,-7.446197741783955e-6,-0.07236555959567842,15.8697725432464,31.598494208494223,33.634777606177614,Units,0.55,Europe,6984.96597556864,52.63158,59.80861,55.92417,72.72727,54.50237,64.92891
Bulgaria,2010Q4,2010,4,10.679,14.617153573833484,0.6733346588875697,1.64225,3.4635,5.10625,5.10625,0.49824999999999997,1.47725,3.5975,5.57275,918,0.57,116960,1358,3039,4450,10306,-3794,-1735,EM,-0.5621189181535413,11.669587274983606,7.213768308118642,-0.03243844049247606,-0.014834131326949385,15.5571053721922,22.49457831325302,26.361271485943774,Units,0.18,Europe,6809.89898414354,53.33333,59.33014,57.8199,74.16268,53.08057,64.45498
Bulgaria,2011Q4,2011,4,11.535499999999999,14.545704374374608,0.7043328534176118,1.9665,4.190250000000001,6.157,6.157,0.39575,1.26375,3.718,5.3782499999999995,918,2351,122210,4832,3386,2039,11350,-1844,0.33,EM,7.762596048540069,11.713496155432047,8.48301573961465,-0.01508878160543327,2.7002700270027004e-6,15.343247388544,24.20257936507937,30.077896825396813,Units,0.22,Europe,7806.348652424989,51.65877,60.18958,55.92417,70.61611,52.11267,61.50235
Bulgaria,2012Q4,2012,4,13.19975,16.307153522721055,0.6654326829147534,2.04475,5.10225,7.14675,7.14675,0.77925,1.22475,4.04925,6.05325,918,0.361,125004,0.948,2391,2763,12379,-0.436,-0.851,EM,-1.018877320649256,11.73610101577245,-0.053400776727115296,-3.4878883875715977e-6,-6.807782150971169e-6,14.4964300700258,17.815490196078425,24.584285490196052,Units,0.03,Europe,7393.189176915402,51.18483,60.66351,58.76777,69.66824,52.11267,61.50235
Bulgaria,2013Q4,2013,4,13.466,16.41613300129799,0.6796758655638272,1.21875,5.81275,7.03125,7.03125,0.8515,1.07675,4.50675,6.435,918,0.319,127602,0.857,0.385,-0.851,13038,-1759,1280,EM,-1.1425641761972924,11.756671323751183,-0.15431736038435728,-0.013785050391059702,0.01003119073368756,14.9278463069496,14.22903100775193,18.533330620155034,Units,0.02,Europe,7651.817880667602,48.81517,59.71564,53.08057,68.24644,52.11267,58.21596
Bulgaria,2014Q4,2014,4,18.13675,21.928945811183347,0.6671015968174696,1.7685,7.6995,9.46775,9.46775,1.7625,1.6135000000000002,5.29225,8.66875,918,1895,132426,2510,-1601,-1951,11524,-3665,1239,EM,7.546974117516527,11.79377927782843,7.828038032125829,-0.027675834050715116,0.00935616872819537,15.6130556912446,14.131210937500002,18.281921875000005,Units,0.02,Europe,7874.260904256455,50.48077,57.69231,49.52381,70.67308,56.73077,59.60591
Bulgaria,2015Q4,2015,4,23.88225,27.33268283507274,0.5633997380084762,2.88125,9.33725,12.2185,12.2185,5.771,0.83975,5.05275,11.66375,918,3990,139143,4693,-1067,-0.896,9233,-2782,0.121,EM,8.29154650988391,11.843257460262876,8.453827315794417,-0.01999381930819373,8.696089634404892e-7,15.2579693397169,16.721011673151743,23.99266614785993,Units,0.01,Europe,7053.603706387087,49.51923,61.05769,46.66667,70.67308,54.32692,61.08374
Bulgaria,2016Q4,2016,4,26.97,29.108620143683932,0.5648309645796088,3.31025,10.6655,13.9755,13.9755,7.09,0.87775,5.02625,12.994250000000001,918,3812,145942,4571,-1323,-0.502,7666,1544,3191,EM,8.245909264774093,11.890964561487735,8.427487278331744,0.010579545298817338,0.021864850420029874,16.6366354346642,15.863488372093013,23.590334883720946,Units,NA,Europe,7545.790332497994,50.96154,64.90385,49.04762,73.55769,52.40385,59.1133
